nivel;codigo_comuna;comuna;codigo_provincia;provincia;codigo_region;region;sexo;edad;poblacion
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;0-4;5052
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;5-9;6565
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;10-14;7482
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;15-19;6664
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;20-24;6804
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;25-29;8211
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;30-34;9160
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;35-39;8309
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;40-44;7586
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;45-49;6361
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;50-54;5793
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;55-59;4878
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;60-64;4671
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;65-69;4179
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;70-74;2985
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;75-79;1908
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;80-84;1050
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;85 o más;755
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Hombres;Total;98413
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;0-4;4915
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;5-9;6502
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;10-14;7079
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;15-19;6241
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;20-24;6423
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;25-29;8177
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;30-34;9027
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;35-39;8539
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;40-44;7835
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;45-49;6485
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;50-54;6012
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;55-59;5192
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;60-64;5396
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;65-69;4592
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;70-74;3438
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;75-79;2284
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;80-84;1505
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;85 o más;1532
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Mujeres;Total;101174
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;0-4;9967
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;5-9;13067
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;10-14;14561
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;15-19;12905
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;20-24;13227
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;25-29;16388
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;30-34;18187
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;35-39;16848
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;40-44;15421
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;45-49;12846
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;50-54;11805
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;55-59;10070
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;60-64;10067
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;65-69;8771
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;70-74;6423
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;75-79;4192
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;80-84;2555
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;85 o más;2287
Comuna;1101;Iquique;11;Iquique;1;Tarapacá;Total;Total;199587
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;0-4;5294
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;5-9;6437
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;10-14;6672
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;15-19;6297
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;20-24;6341
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;25-29;6433
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;30-34;6606
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;35-39;5542
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;40-44;4701
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;45-49;3834
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;50-54;3388
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;55-59;3026
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;60-64;2456
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;65-69;1682
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;70-74;986
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;75-79;520
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;80-84;284
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;85 o más;150
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Hombres;Total;70649
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;0-4;5073
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;5-9;6312
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;10-14;6376
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;15-19;5836
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;20-24;5967
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;25-29;6536
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;30-34;6598
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;35-39;5741
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;40-44;5035
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;45-49;4125
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;50-54;3942
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;55-59;3218
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;60-64;2594
Comuna;1107;Alto Hospicio;11;Iquique;1;Tarapacá;Mujeres;65-69;1718
